Polaridade,Tweets Limpos
negativo,Deus acho febre
negativo,boca toda estourada causa febre
negativo,acredito ficando febre
positivo,febre menos amÃm
negativo,Ontem abriu conta descaso samu ligaram umas perguntando precisava httpstcouRnBL8aeaE
negativo,Pior ainda ainda dolorida frio felizmente febre
neutro,favor febre novo
negativo,passando abeÃa garganta fechada corpo cheia febre olho bebendo cervejinha desisto x8fu200¸x8f
negativo,matheus queimando febre assim parte
neutro,Viria toda molinha tava febre
positivo,melhor sensação costela falta todo mundo kkkk Lembra Junin… httpstcoCWHdEwKFiX
neutro,falta thalia faça algo
negativo,tava exatamente assim começo semana tava conseguindo assistir sentia falta vontade chorar
neutro,tadinho falta vendo
neutro,tomar cuidado posta exemplo quase morri falta
negativo,dizendo lotação máxima estádio causa pandemiann nnCORTA ESTÁDIO LOTADO PELAMOR FALTA
neutro,REMEDIO PODE CAUSARnOBESIDADEnDEPRESOnDIFICULDADE DORMIRnFALTA KKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKK
neutro,falta sentido surreal Socorro
neutro,nada comecei sentir falta veio
neutro,nada fico falta issooo
neutro,indo hospital falta médiconEno filha negócio falta quase morri… httpstcoTSB9MIEnyP
neutro,Falta
neutro,coração acelerado falta conseguir ficar quieta tudo voltar aula presencial amanhã socorro
neutro,falta voltou httpstcoFvpoEspYd9
neutro,chego fico falta
negativo,Orem sentido crises ansiedade falta palpitações Solio dores pulmão Após Gra… httpstcorJP9yvPV8s
negativo,Pegar covid gravidez pior fase gravidez andar bombinha agora cima baixo httpstcoky8XhLnTrO
negativo,Psicológico merdaombro machucadofalta ardor cabeçaacho preciso
negativo,falta insuportável
neutro,sentindo preso peito falta parece morrer Preciso urgente tratar ansiedade
neutro,falta crl😩
negativo,Pois engasgue crise tosse
neutro,ódio sempre direcionado predsin pernas tosse
neutro,Lembrando agora ataque tosse todos quarto kkkkk
neutro,tosse cachorro fiel passou final semana todinho 🙅🏼u200d😷🤦🏼u200d
negativo,tosse matando
negativo,Inferno tosse
negativo,tosse passa nada
neutro,tosse parece idoso mano
negativo,tosse caralho bicho garganta
negativo,tosse desgraçada
negativo,tosse caralho deve efeito saudade delekkkkkkkkkkk
negativo,rabiola cansaço fudido sono eterno tosse cachorro
neutro,Tomei vitaminaC tosse passa friagem geiziane
negativo,Tosse chata
negativo,tosse chata caralho abdômen doendo tanto tossir
neutro,Tosse seca dores corposem zoas MEDO estar Covid19
neutro,Tosse garganta espirrando todo cabeça corpo dúvida COVID
neutro,fazer receita parar tosse engoli açafrão KKKKKKKKKKKKKK
negativo,primeiro aula ensino médio vejo gente idade tanto tempo imaginar httpstco3YjwuIKbpU
negativo,asmático últimas semanas precisei passar horas máscara dias acima… httpstcofAjJ1iFWzp
negativo,pior coisa existe vida doença respiratória crônica tudo atacado consigo subir… httpstcow8NIUtOfFc
negativo,Final gravidez horrível falta caralho hora dessaaaaaaa
negativo,Lembro pesadelo morri ataque cardíaco umas falta aperto httpstcoDhhOruMz42
neutro,Acordei forte peito muita falta achei morrer😥😭
neutro,Cansada destruída Thomaz dormiu noite inteira tossir falta
neutro,muita falta httpstco2uZJyfLiBi
neutro,falta caralho
negativo,falta fudeeee maluco
negativo,Falta
neutro,Falta nada Ainda suave nada Pensa trem estranho moço
negativo,Falta filha puta dorme assim
negativo,Falta sentindo foda caralho
neutro,Massa conseguir dormir falta
negativo,Deus falta sensação horrível imaginar chego tremer
negativo,peito falta desespero vontade chorar
negativo,noite péssima pensei morrer falta ar😣😣😟
negativo,agora todo falta caralho
negativo,passo tempo falta respirando normal vejo hora cansar desistir
negativo,falta constante Deus
negativo,falta sempre desespero qodio
neutro,ótimo acordei manhã agora sofrendo falta tomar
neutro,falta caralho
negativo,falta deus
neutro,falta
negativo,falta aula ainda começou dwuss
neutro,passando falta inferno
negativo,tudo falta cabeça insuportávelnto tentando acalmar coração sério httpstcoFT99v97s9h
negativo,desgraçada peito falta vável ansiedade misturada tristeza porque assim httpstcoHrdez82k4Y
positivo,Ainda tosse Alice diminuiu
negativo,Tosse alÃrgica saco cara
negativo,tosse desgraÃada
negativo,tosse
neutro,pooode peguei ventinho madrugada porque dormi descoberta aqui tosse asma falta
negativo,irresponvel total Maluco dias tosse espirrando direto ainda negando tomarâ httpstco4whjoMv
neutro,Paciente tosse cachorro usando spray garganta consulta achando atender
neutro,consegui convencer doutora fazer ressonÃncia agora Pasme exame tava saindo irregulaâ httpstcoVC4D0dXw42
positivo,desde manhÃ tosse
negativo,Verdade fazendo vacinas xarope tosse
negativo,febre avisa conseguisse medir avisaria saco
neutro,assim aparelho indicou mina tava febre medindo pulso imagine medido lugar certo kkkk
positivo,escola filha adeo alta turminha outro menino voltaram httpstcoaaWP5HTd8e
negativo,posso sair chuva febre volta odio
negativo,Sempre disse fica zanzando febre indo hospital Muita idiotice
negativo,rinite ataca febre ódio
neutro,Fantástico Brenda Apenas porcentagem vacinados talvez sintam febre dor… httpstco6p2RZqKb0e
neutro,Alice minoria vacinados caso sentirá febreou local aplicação incô… httpstcoRdd6ohxMA6
neutro,começando ficar febre😟
neutro,indo trabalhar febre😑😑
negativo,nesse inferno desde 08h30 manhã amor deus aguento febre
neutro,muita costasfebre cabeça
neutro,febre aguentando namoral
neutro,Acho ficando febre ninguém merece🤦🏽u200d
neutro,Acordei febre
neutro,Bernardo queimando febre Deus
neutro,acho febre
neutro,febre mandada ameaçando
neutro,Eloá acordou febre
neutro,febre fica indo voltando aguento
neutro,queimando febre aqui trabalho 🤦🏻u200d😭😭
neutro,lembro chegar casa queimando febre tomar chuva desgraçada morrendo enxaqueca httpstcophOeclXsCI
neutro,Febre garganta inflamada foda
negativo,acordo cabeça febre odeio ficar resfriada
negativo,amigo entrada hospital febre falta pulmões commetidos int… httpstcoYBGULntUAN
neutro,tomo semana segunda dose medo febre garganta inflamar novo 🤦🏼u200d🤦🏼u200d alguma reação
neutro,rinite ataca febre ódio
neutro,muita costasfebre cabeça
neutro,Febre garganta inflamada foda
negativo,Febre Deus febre plena segunda porque
neutro,nenê cheio febre agarrando pedindo trabalhar ficar peninha
negativo,dinibuir febre pode escola thai serio odio
neutro,porra rindo disso igual cachorro tosse
neutro,fumar tomar parar tosse verdadeiro equilÃxadbrio
negativo,Tosse alÃrgica saco cara
neutro,surto nariz querendo entupir umas tosse estranha
negativo,pooode peguei ventinho madrugada porque dormi descoberta aqui tosse asma falta
neutro,outro ouvi tosse zoei covid realmente infectado
negativo,tosse
negativo,costas quadril tosse segunda feira
positivo,Ainda tosse Alice diminuiu
negativo,Paciente tosse cachorro usando spray garganta consulta achando atender
positivo,desde manhÃ tosse
negativo,Verdade fazendo vacinas xarope tosse
negativo,tosse desgraÃada
negativo,tosse
negativo,surto nariz querendo entupir umas tosse estranha
negativo,acordei desespero falta pulmÃµes celebro confuo tudo relaxouâ httpstcouH5toptABo
negativo,fico revoltado falta senso pessoas pandemia ainda vÃxadrus existe vocÃ nemâ httpstcobjU60jyvLv
negativo,falta CiÃncia impondo pessoas usarem mÃscaras fazerem exercÃxadcios academiaâ httpstcoi8E1Zy7jfR
negativo,desencadeei crise ansiedade nesse Ãltimo peito falta inexplicÃvel maihttpstcob9EdjHIfRS
negativo,Ontem passei tanto estresse acordei peito falta
negativo,voltei segundaalÃm cansaÃo fraqueza esforÃar fisicamente falta aressa doenÃa estranha
negativo,horas consultar mÃdico falar tudo normal queria sentindo falta
negativo,falta meeeeeu
negativo,falta sentindo desejo
negativo,coisa ruim falta peito U0001f972
negativo,madrugada acordei falta sensaÃÃo
negativo,morrer falta aguentando tanta tambÃm
negativo,mano levantei passos pressao caiu fiquei falta rolou
negativo,conseguindo respirar direito falta constante nariz doendo PORRA desde ontem
negativo,acho dormir noite toda acordo falta parece morrendo
negativo,Quase morrendo falta
negativo,Ãdio mulher trabalha aqui casa descobriu ontem marido tava covid veio trabalhar hojâ httpstcoCDVh7nwUJt
negativo,falta vontade vomitar amado
neutro,falta
negativo,sentindo deus falta disse remedio bombannmelhor ficar internada certo
negativo,Medindo temperatura pulsonNãããããooooonJá começou errado tocolonPode entrado cria… httpstco0XndxqaHkz
neutro,comentário deve área saúde médicoEnfim acred… httpstcof4j8ojuTsm
negativo,vagabunda acorda falando febre tava ontem fodida puta
positivo,bday começou melhor forma febre matteu passou ganhei cesta café manhã
neutro,sERA FEBRE
neutro,acontece décadas Japão outros países asiáticosnGostaria sociedade assim evoluís… httpstco8u1JQIcWYr
negativo,jeitinho brasileiro burlar tocolo pandemia termômetros descalibrados áreas periféricas httpstcoqceCXj4bbL
negativo,Acordei doente disposta febre herpes paciência repito paciência
negativo,ansidade pior muita febre vomito
negativo,capacidade adoecer causa emocional merda qualquer coisinha febre
negativo,enquanto avião febre tosse coriza espirros dificuldade respirar cure atendiment… httpstcou0NvMRTf0c
negativo,manhãneu acordei todo fudido cabeça febre porra pede ligar camera
positivo,aqui febre teima passar resto relativamente
negativo,Acho pegado juntas febre
neutro,Acordei pouca Maria Luíza pelando febre Jesus
negativo,acordei melhor crente tava febre ainda
neutro,Acordei febre 😤🤦u200d
negativo,brincadeira febre mesmoU0001f9cdu200d♂️
neutro,sono febre querendo
neutro,cabeça febre novamente 🤦🏽u200d
neutro,febre passa
negativo,febre foda
neutro,semana todo madrugada manhã antes sair febre kkkkkkk U0001f970U0001f970U0001f970
neutro,aqui postao bonja Rennan tadinho ardendo febre
negativo,passando febre cara querendo encontronnPqp noção preguiça responder trem desses
neutro,mano acordei rosto vermelho sentindo muuuito quente peguei termômetro tava httpstcopGdjYVoqkd
negativo,pensa noite dormida inferno passei noite febre suando espirrando conseguir respirar httpstcolFe3Am2pQh
negativo,Pior febre novo conseguir viajar
negativo,Porra caralho peço Unimed fumar manda esperar tanto Detalhe febre
negativo,febre infernoooo
neutro,Quase febre resfriado
negativo,macumba peço desfaça favor dormir acordo febre garganta absurdo PORRA
negativo,febre dormi NADA aguento
negativo,febre ontem hoje acordei muita corpo disse oxigenação noite tava ruim meu… httpstcobcWroKajaV
negativo,Tmnc cheio febre odio
negativo,conhecer alguém bichada cabeça explodindo febre corpo segunda dose httpstcovcetnOtpu0
negativo,tomar banho gelado estando febre ruimm água corpo😫
neutro,Trabalhar febre triste
neutro,outro acordo febre
negativo,veio febre agora ódio mano
neutro,vsfd febre
positivo,aqui febre teima passar resto relativamente
neutro,Acho pegado juntas febre
negativo,brincadeira febre mesmoU0001f9cdu200d♂️
negativo,sono febre querendo
negativo,febre novo nada quarta
negativo,20min hospital senti febre tosse seca deus pode psicológico httpstcoxs0bHA4UEb
neutro,aqui postao bonja Rennan tadinho ardendo febre
neutro,tava queimando febre nesse aniversário amiga assim KKKKKKKKKKKK httpstcoK2EYTB3I2e
negativo,pensa noite dormida inferno passei noite febre suando espirrando conseguir respirar httpstcolFe3Am2pQh
negativo,Quase febre resfriado
negativo,febre braço obrigado anti tenica
negativo,blema ansiedade ficar ansioso precisa dormir dormir ansioso restan… httpstcoEreGkTUP2Y
negativo,foder tempo crise ansiedade literalmente totalmente desarmado… httpstcoYQwnOCbwyU
neutro,falta sentindo desejo
neutro,morri aqui falta
positivo,Acordei puta falta sentindo ansioso menos tava risos corona
negativo,acordei susto falta
negativo,gente ódio desse corona vírus maldito fechar tempo fico sentindo peito pesado respiran… httpstco9oTfwxQZNh
negativo,Cinco meia manhã ponto esperando ônibus trabalharme segurando chorar falta filha puta
neutro,madrugada acordei falta sensação horrível
neutro,peito falta
negativo,falta foda parece fechado crlho arrependido
negativo,morrer falta aguentando tanta cabeça
negativo,deus desespero falta deus
negativo,coisa ruim falta peito U0001f972
negativo,Quase morrendo falta
neutro,falta vontade vomitar amado
neutro,Hoje saÃxad casa nÃnPrimeira anontima desde marÃo nFui podia httpstcoq4WUHIGpCp
neutro,Aiii doenÃas escola assustamme pediatra avisoume preparese httpstcox6n5b6kWZW
neutro,explicando chÃzinho tosse kkkkk
negativo,tosse covid Nunca gritou alÃm normal ponto httpstcodWD5R2ZayN
negativo,reportagem tosca mÃscaras COVID eficientes impedir vÃxadrus quase nenhuma httpstco2krSm32Hgl
positivo,apÃs Covid momento tosse ainda incomoda tirando Acho novo novo Soli Gloria
negativo,tosse carai
negativo,INFERNO TOSSE DEUS CÃ‰U ÃDIO
negativo,pessoas achar COVID nada demais Hoje bebÃ mesehttpstcojXzpxqG6OS
negativo,tosse insuporvel aguento maisnhttpstcoLWdVxrgpL6
negativo,tosse seca coceira garganta irritando demais
neutro,crise tosse farmÃcia kkkkkkk Ãdio
negativo,simplesmente aguento situaÃÃo atualnFebre cimanSuar litronTosse rasgando tudonFalarâ httpstcoZL0sNjVrRH
neutro,tava catarro etalndai inventei corretivoliquid paper passou tosse catarroKKKKKKKKK
negativo,deus mano tosse
negativo,tosse peito doendo nunca
neutro,muita tosse odioooo httpstco2ctf4E2fzP
negativo,garganta doendo nariz escorrendo entupido tossenalguÃm vacina amor deus
neutro,tomando xarope tosse vontade tomar vidro inteiro xarope delicia
negativo,tossindo dias tosse nada acontecendo
negativo,tosse infernal
positivo,meio tosse covid finalmente passou demÃnio derrotado
negativo,vontade morrer causa tosse puta pariu infeeeeeerno
negativo,Tosse chata U0001f92c
neutro,Primeiro caso COVID olha risada misturada tosse kkkkkkkkk
neutro,Seráva tosse morria infecção ksksskkk
neutro,Levas vista passa tosse😌
negativo,tosse covid Nunca gritou além normal ponto Pert… httpstcodWD5R2ZayN
negativo,reportagem tosca máscaras COVID eficientes impedir vírus quase nenhuma httpstco2krSm32Hgl
negativo,discuti ônibus conta máscaranE pessoas colocaram fingi tosse algumas… httpstco54EXhuSeEm
negativo,sistema saúde beleza reclamou qualquer coisa COVID nFaz teste dengue poderia apare… httpstcoWp2tHfxDWK
neutro,lembra falou tava pouco tosse falou enfisema hahahahhahaha
negativo,Porra viado demora fiquei quase ainda tosse
negativo,menina pior melhorei TUDO nariz desentupiu garganta parou doer httpstcoaom2htiyro
negativo,INFERNO TOSSE DEUS ÓDIO
negativo,tosse carai
negativo,tosse insuportável aguento maisnhttpstcoLWdVxrgpL6
neutro,tosse seca coceira garganta irritando demais
neutro,tosse estourando garganta forma
neutro,meses tosse cessa Nesse período dois testes covid deram fazer
neutro,crise tosse farmácia kkkkkkk ódio
neutro,foda tempos covid gente fica U0001f92f qualquer falta tosse
negativo,deus mano tosse
neutro,garganta doendo nariz escorrendo entupido tossenalguém vacina amor deus
neutro,muita tosse odioooo httpstco2ctf4E2fzP
negativo,tosse infernal
negativo,Tosse chata U0001f92c
positivo,meio tosse covid finalmente passou demónio derrotado
neutro,vontade morrer causa tosse puta pariu infeeeeeerno
negativo,Pensem CARALHADA gente MORREU causa desse combo maravilhoso cure ajuda médica… httpstco9bWR7I0Gsj
negativo,Fique casa sentir falta venha morrer hospitalnIsto crime contra saúde pública
negativo,Pois primeira suspeita correram comprar Bozo tomaram calad… httpstco21VULYRMn8
positivo,menos nini rinite atacada pouco falta viva U0001f929
neutro,Cada falta sabe
neutro,falta
neutro,Falta caralho
neutro,falta
neutro,falta grave anemia cachorra vomitando cabeça Deus calma
negativo,preocupada marido passou falta dias httpstcoPCTI0P7tEy
negativo,sacanagem infeliz covid transmitido jogadores httpstcoMSQRHPnZem
negativo,validade comvante identificação Unidade vacinadornÉ vacinados httpstco2qjmLBCbSB
negativo,diagnostico amidalite bacteriana semana testes COVID deram além httpstcoWez0OsFNvQ
neutro,cabeça corpo meio mole tipo estar sabe febre enquanto httpstco0neWnmwFPk
neutro,febre achando morre
negativo,acordei febre tomara xima dormir morra
neutro,gente sinceramente aguento corpo febre cabeça
neutro,nega febre U0001f97aU0001f97aU0001f97aU0001f97aU0001f97a
neutro,Crlh febre inferno
negativo,corpo febre faltava hoje
negativo,febre parece morrer
negativo,Fazia vida febre ruim demais
neutro,mainha pode sentir febre fico morta preocupação deus livre filho endoido
negativo,aguento febre volta porra U0001f92c
neutro,Senhor sono febre cansaço caçar parada
neutro,febre demora boca estoura todinha
neutro,queimando febre
negativo,imunizadah porém terrível braço febre ódio reação
negativo,neném cheio febre quietinho Vacina fdp😪
neutro,ando muita falta socorro😫
neutro,Cada falta sabe
neutro,falar falta público engraçado povo fica espantado
neutro,falta
neutro,Falta caralho
neutro,falta caralho
neutro,falta
neutro,Falta inteiro tmnc
neutro,muita falta ultimamente chegou hora
negativo,preocupada cara saco dando falta
negativo,preocupada marido passou falta dias httpstcoPCTI0P7tEy
neutro,febre Maria Júlia passa 🤦🏼u200d🤦🏼u200d🤦🏼u200d🤦🏼u200d🤦🏼u200d🤦🏼u200d🤦🏼u200d🤦🏼u200d🤦🏼u200d🤦🏼u200d🤦🏼u200d🤦🏼u200d
positivo,Fiquei doente tava febre tosse ardência olhos melhorando
negativo,febre quero chorarrrr
neutro,bastasse Hellena cama agora febre passou Laura 🤦🏽u200d
neutro,crlh fiquei quente sonolenta nada febre doida
neutro,nada fiquei febre
neutro,febre veio
neutro,febre cuidar
negativo,ACREDITO FICAR FEBRE NOVO ACONTECER
neutro,acredito febre U0001f97aU0001f97a
negativo,Fazia vida febre ruim demais
neutro,Henry resolveu febre 🤦🏽u200d
negativo,Porra febre passa
negativo,fechar merda febre cabeça
neutro,febre chata
neutro,odio febre
neutro,Queimando febre😓
positivo,febre hoje garganta segue daquele jeito
neutro,mandar irmã pedir umas instruções melhorar febre kkkkkk
neutro,cheia febre
neutro,cabeça febre
neutro,febre
neutro,Toda hora febre volta tmncU0001f92f
neutro,algum souber avisa tosse
neutro,Tosse dentro boca delenAqui resolveu algumas vezes comecei tossir pesado catarro httpstcoYOD9cqArS8
negativo,vontade socar tosse perto máscara ENORME nRanço gente noção
neutro,garganta fudida tanto casa hoje kkkkkkkk visse povo todo sobre… httpstcodbbaMeuCyv
negativo,0540 consigo dormir tanta tosse deus matando
neutro,tosse cacete
negativo,Caralho tosse satanás jeito nenhum dormi nessa porra
negativo,chego casa ataca maldita tosse
neutro,crise tosse agora sério
negativo,Crlhou parece negócio arranhando gargantaranço tosse
negativo,Funga tosse tosse funga espirra tosse funga aguento
negativo,irmão suspeita covid fica andando casa espirra tosse ódio quero httpstcoYyampPbtO6
neutro,conseguindo dormir causa tosse gripe amadoo
negativo,foda dormir durmo direito tosse inferno dias desse jeito aguento sinto httpstco5FJBv5D4b6
negativo,tosse chata caralho
negativo,tosse crlh
neutro,tosse cólica CARALHOOOO
neutro,tosse chaaaata
neutro,tosse dormi
negativo,amiga querida Covidsem olfato paladar ctosse marido maldito negacionista… httpstcoq1Y2YAh3VF
neutro,coceira garganta danada tosse horrível
neutro,vontade enfia tosse
neutro,pior alguém falta principalmente básico hipotese algum… httpstcoRLE5hMkoGT
negativo,ansiedade dormir ruim deita tenta dormir foca nervoso falta triste caras
neutro,toda pensando corona falta ansiedade consumindo
negativo,assassinos CLOROQUINA mata mata ficar esperando Vírus comunista” tomar cont… httpstcov9ib97M3HR
negativo,Vindo ministro matou várias pessoas Fiquem casa curem hospitais… httpstcooF2ZCZ8YQi
negativo,Alergia atacada falta chata U0001f92fU0001f92f
neutro,Queria infelizmente acordei falta 🤦🏾u200d♂️
neutro,POSIÇÃO DEITARRRRR TUDO FALTA
neutro,acordei cheia falta ódio
