Paul Ekman,Tweets Limpos
tristeza,irmÃo febre emocional queria
tristeza,febre pressao baixa sabe aguentando
tristeza,Acordei febre Ãdio
tristeza,desculpa acordei sentindo sinto febre
felicidade,menos febre
tristeza,muita febre comeÃa affs
felicidade,acordou febre doooor„
medo,trabalhar nessa chuva moto pelando febre
surpresa,febre
felicidade,ouvi aferir febre pistolada ahaha
tristeza,Talvez fico enfermeira falou ficar febre
tristeza,desde achando clima friozinho seco sera febre
raiva,Ãtimo acordou 383Â febre apÃs crise frio tremedeira madrugada
raiva,cidades pessoas querem vacinar vacina Aqui onde moro existe cultura negâ httpstcoQiMqmgy84O
tristeza,Olha subestimei reaÃÃo vacinalnDor braÃo piorou holocraniana conxadnua desconforto abdoâ httpstcoUH96lDbezu
felicidade,Todo mundo fuma tosse gnomo espirra gasta onda kkkkkkkkkkkkkkkkkkkkkkkkk
surpresa,ontem crise tosse madrugada socorro
tristeza,tentei espirrar dentro agora tosse
raiva,Final gravidez posiÃÃo dormi falta coluna outras coisas
tristeza,Sabe socos esmago chega deixa falta nunca consegui respirar
tristeza,barulho especÃxadfico despertador Iphone lembra fase ruim toda dispara celular httpstcoRYDB4mTttk
tristeza,triste tava andando veio senhora parecia precisar ajuda pergunâ httpstcogF7cGmONly
tristeza,tanto medo perder outra pessoa pensar falta ansiedade bate hora
felicidade,Mandetta deveria responsabilizado mortes primeira ondapois crime eleâ httpstcoewekZ6AUPk
raiva,Falta caralho
felicidade,mesma adeÃo cloroquina remÃdio indicado presidente teriâ httpstcoRJYJ6HT0Bp
felicidade,obgg medicando casa gripe esperar muita falta httpstcoaCAdxhNTPR
surpresa,caralho falta
medo,manhÃ cedo falta ansiedade calma aÃxad
nojo,nada falta
tristeza,Falta foda
medo,covid nunca tanta falta assim nada
surpresa,senhora falta
tristeza,Ãnico invento dormir tarde acordar cedo causa falta olha sinceramente
tristeza,comecei sentir falta viajar doente pausa
tristeza,peito ifalta consigo dormireu queria pesadelo acabasse
medo,puts mano medo morrer falta
raiva,Andreia sabe alergia clorofina encheu louÃas merda falta httpstcoZpulem3DTR
medo,pontinha Manaus passando assim fiquei choquevi monte gente gritandoâ httpstcoiDJ32P8Lj0
tristeza,lembro parte chorei tanto tanto fiquei falta nunca superar relaâ httpstco6cwWv6wjPW
tristeza,xadxadxadxad Vivi algo assim semana disncia Luca chamou pedindo âFazer Jesusâx9d mofoâ httpstco6pFCSi8V0z
raiva,todo mundo morreu falta culpa
raiva,disse falta passar rÃveillon praia âfervoâx9d falta vocâ httpstcoiL0pVM7j8C
raiva,FALTA RESPEITO PEDRO Tudo votar NenÃ peido ambulante poluir bbtvi
tristeza,gosto coceira alergia falta pulso entrar lojas infelizmente
tristeza,Toda Qboa limpar casa fico falta consigo deixar usar
felicidade,Toda coloco mÃscara fico falta KKKKKKKKKKKKKK
raiva,vsfd mÃscara covid falta saio assim
raiva,falta chata essau200‚¸x8fnSextaDetremuraSDV
medo,fico toda torta falta condiÃÃµes
medo,ruim fiquei falta lembrar kkkkkkkk
medo,todo aperto peito falta formigamento suando frio httpstconcyyvx40B2
felicidade,âmeo falta arâx9d nârespira uaiâx9d nnKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKK DORINHA
felicidade,calma asma fotos deixaram falta
felicidade,‚‚‚‚ Fique casa sentirem falta
raiva,falta competencia genera incompetencia nhttpstcoN9WG9jjWln vÃxada
raiva,mono orio fica casa embebedando CloroquinaazitromicinaIvermectina falando httpstcoV7nawT4wrw
tristeza,meses atrÃs falei pais tava sentindo falta hoje interessaram saber sinto
tristeza,Morreu aluno dentro sala aula tradicionais colÃgio Teresina Senti falta dificuldade
medo,falta legal
tristeza,cansa deitada falta foda
medo,muita falta serÃ morrerx8d
tristeza,falta novo
felicidade,esposa onze famÃxadlia conhecidos todos tratados casa httpstcoWghBGbyW4U
raiva,falta
medo,Peguei COVID Ãnicos sintomas desesperadamente falta perca paladar httpstcoj6zXGH8T6H
medo,prima tomou vacina reaÃÃo desde terÃa diarrÃia febre alxadssima falta
raiva,bebendo consigo fica fumar aÃxad tosse maldita pegÃ u200¸x8fu200¸x8f
medo,Deus amado teja Ãnibus tosse todo lado
raiva,velha vergonha devia presa espero conheÃa algum filhinha estuhttpstcozXHpBVLdR6
felicidade,toda chego perto tosse imitar saco KKKKKKKKKKK
medo,crise tosse meio medo linchada
raiva,coff coff cofftosse tuberculosa velho
raiva,homem Juro devÃxadamos juntar assinaturas tosse
surpresa,alguÃm tuberculose dentro quanta tosse bbb21
felicidade,Digo passando fase suavennFiquei sintoâ httpstcoZdnBcUNKUA
felicidade,tosse parecendo cavalo garrotilho kkkkkkkkkkkk
tristeza,tosse chata x8fu200¸x8f
raiva,tosse entupindo xarope passa nada
tristeza,remÃdio curando tosse
felicidade,Acho peguei domingo tosse febre baixa oxigenaÃÃo agora sentindo
tristeza,Super cansadacom peitocalafriostosseespirroenfim covid literalmente
medo,ataque tosse engasgouse vÃla parecia morta consigo parar tremer
tristeza,Levei Mariana pediatra antes tempo porque super preocupada tosse paraâ httpstcoOUgzCwSEfM
raiva,acordei tosse desgraÃada
tristeza,dias tosse
felicidade,Ahsuahduahdhshshshsmsocnsgkndkzncjsjxmskz tosse cachorro ahsushshshdhsmvksmskndos httpstcoQjQcc7iytR
tristeza,tosse chata matando
tristeza,fatto passato pomeriggio infernonon voce tosse treguaO fato passei tarde inferno tosse trégua
raiva,Tosse chata crlh toda fazer nebulizaÃÃo sacou200¸x8f
tristeza,febre voltou U0001f97a
raiva,porra febre voltanu
raiva,Ãtimo acordou febre toda fudida
raiva,Acordei febre
raiva,Ainda pouco falta febre durante Ãltimas horas tentativa comunoglobalis httpstcoc0oEv3IP2a
tristeza,febre triste‚
felicidade,febre menos hipotermia
medo,acordei febre morrer
medo,ando doendo nada febre xadnJuro queria descobrir estuda favor
raiva,Febre faltava
tristeza,febre insistente
medo,Deus acho febre
tristeza,boca toda estourada causa febre
tristeza,acredito ficando febre
felicidade,febre menos amÃm
tristeza,Ontem abriu conta descaso samu ligaram umas perguntando precisava httpstcouRnBL8aeaE
felicidade,Pior ainda ainda dolorida frio felizmente febre
medo,favor febre novo
tristeza,passando abeÃa garganta fechada corpo cheia febre olho bebendo cervejinha desisto x8fu200¸x8f
tristeza,matheus queimando febre assim parte
tristeza,Viria toda molinha tava febre
felicidade,melhor sensação costela falta todo mundo kkkk Lembra Junin… httpstcoCWHdEwKFiX
medo,falta thalia faça algo
tristeza,tava exatamente assim começo semana tava conseguindo assistir sentia falta vontade chorar
tristeza,tadinho falta vendo
medo,tomar cuidado posta exemplo quase morri falta
raiva,dizendo lotação máxima estádio causa pandemiann nnCORTA ESTÁDIO LOTADO PELAMOR FALTA
felicidade,REMEDIO PODE CAUSARnOBESIDADEnDEPRESOnDIFICULDADE DORMIRnFALTA KKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKK
medo,falta sentido surreal Socorro
medo,nada comecei sentir falta veio
surpresa,nada fico falta issooo
surpresa,indo hospital falta médiconEno filha negócio falta quase morri… httpstcoTSB9MIEnyP
tristeza,Falta
medo,coração acelerado falta conseguir ficar quieta tudo voltar aula presencial amanhã socorro
tristeza,falta voltou httpstcoFvpoEspYd9
surpresa,chego fico falta
tristeza,Orem sentido crises ansiedade falta palpitações Solio dores pulmão Após Gra… httpstcorJP9yvPV8s
tristeza,Pegar covid gravidez pior fase gravidez andar bombinha agora cima baixo httpstcoky8XhLnTrO
tristeza,Psicológico merdaombro machucadofalta ardor cabeçaacho preciso
tristeza,falta insuportável
tristeza,sentindo preso peito falta parece morrer Preciso urgente tratar ansiedade
tristeza,falta crl😩
raiva,Pois engasgue crise tosse
raiva,ódio sempre direcionado predsin pernas tosse
felicidade,Lembrando agora ataque tosse todos quarto kkkkk
tristeza,tosse cachorro fiel passou final semana todinho 🙅🏼u200d😷🤦🏼u200d
tristeza,tosse matando
raiva,Inferno tosse
tristeza,tosse passa nada
surpresa,tosse parece idoso mano
raiva,tosse caralho bicho garganta
raiva,tosse desgraçada
raiva,tosse caralho deve efeito saudade delekkkkkkkkkkk
tristeza,rabiola cansaço fudido sono eterno tosse cachorro
medo,Tomei vitaminaC tosse passa friagem geiziane
raiva,Tosse chata
raiva,tosse chata caralho abdômen doendo tanto tossir
medo,Tosse seca dores corposem zoas MEDO estar Covid19
medo,Tosse garganta espirrando todo cabeça corpo dúvida COVID
felicidade,fazer receita parar tosse engoli açafrão KKKKKKKKKKKKKK
medo,primeiro aula ensino médio vejo gente idade tanto tempo imaginar httpstco3YjwuIKbpU
tristeza,asmático últimas semanas precisei passar horas máscara dias acima… httpstcofAjJ1iFWzp
tristeza,pior coisa existe vida doença respiratória crônica tudo atacado consigo subir… httpstcow8NIUtOfFc
raiva,Final gravidez horrível falta caralho hora dessaaaaaaa
medo,Lembro pesadelo morri ataque cardíaco umas falta aperto httpstcoDhhOruMz42
tristeza,Acordei forte peito muita falta achei morrer😥😭
felicidade,Cansada destruída Thomaz dormiu noite inteira tossir falta
raiva,muita falta httpstco2uZJyfLiBi
raiva,falta caralho
raiva,falta fudeeee maluco
raiva,Falta
surpresa,Falta nada Ainda suave nada Pensa trem estranho moço
raiva,Falta filha puta dorme assim
raiva,Falta sentindo foda caralho
tristeza,Massa conseguir dormir falta
medo,Deus falta sensação horrível imaginar chego tremer
tristeza,peito falta desespero vontade chorar
tristeza,noite péssima pensei morrer falta ar😣😣😟
raiva,agora todo falta caralho
tristeza,passo tempo falta respirando normal vejo hora cansar desistir
tristeza,falta constante Deus
raiva,falta sempre desespero qodio
raiva,ótimo acordei manhã agora sofrendo falta tomar
raiva,falta caralho
tristeza,falta deus
tristeza,falta
tristeza,falta aula ainda começou dwuss
raiva,passando falta inferno
raiva,tudo falta cabeça insuportávelnto tentando acalmar coração sério httpstcoFT99v97s9h
tristeza,desgraçada peito falta vável ansiedade misturada tristeza porque assim httpstcoHrdez82k4Y
felicidade,Ainda tosse Alice diminuiu
raiva,Tosse alÃrgica saco cara
raiva,tosse desgraÃada
raiva,tosse
surpresa,pooode peguei ventinho madrugada porque dormi descoberta aqui tosse asma falta
raiva,irresponvel total Maluco dias tosse espirrando direto ainda negando tomarâ httpstco4whjoMv
surpresa,Paciente tosse cachorro usando spray garganta consulta achando atender
surpresa,consegui convencer doutora fazer ressonÃncia agora Pasme exame tava saindo irregulaâ httpstcoVC4D0dXw42
felicidade,desde manhÃ tosse
surpresa,Verdade fazendo vacinas xarope tosse
raiva,febre avisa conseguisse medir avisaria saco
felicidade,assim aparelho indicou mina tava febre medindo pulso imagine medido lugar certo kkkk
felicidade,escola filha adeo alta turminha outro menino voltaram httpstcoaaWP5HTd8e
raiva,posso sair chuva febre volta odio
raiva,Sempre disse fica zanzando febre indo hospital Muita idiotice
raiva,rinite ataca febre ódio
felicidade,Fantástico Brenda Apenas porcentagem vacinados talvez sintam febre dor… httpstco6p2RZqKb0e
felicidade,Alice minoria vacinados caso sentirá febreou local aplicação incô… httpstcoRdd6ohxMA6
tristeza,começando ficar febre😟
tristeza,indo trabalhar febre😑😑
raiva,nesse inferno desde 08h30 manhã amor deus aguento febre
tristeza,muita costasfebre cabeça
tristeza,febre aguentando namoral
tristeza,Acho ficando febre ninguém merece🤦🏽u200d
raiva,Acordei febre
tristeza,Bernardo queimando febre Deus
raiva,acho febre
raiva,febre mandada ameaçando
tristeza,Eloá acordou febre
raiva,febre fica indo voltando aguento
tristeza,queimando febre aqui trabalho 🤦🏻u200d😭😭
raiva,lembro chegar casa queimando febre tomar chuva desgraçada morrendo enxaqueca httpstcophOeclXsCI
tristeza,Febre garganta inflamada foda
raiva,acordo cabeça febre odeio ficar resfriada
raiva,amigo entrada hospital febre falta pulmões commetidos int… httpstcoYBGULntUAN
medo,tomo semana segunda dose medo febre garganta inflamar novo 🤦🏼u200d🤦🏼u200d alguma reação
raiva,rinite ataca febre ódio
tristeza,muita costasfebre cabeça
tristeza,Febre garganta inflamada foda
tristeza,Febre Deus febre plena segunda porque
tristeza,nenê cheio febre agarrando pedindo trabalhar ficar peninha
raiva,dinibuir febre pode escola thai serio odio
felicidade,porra rindo disso igual cachorro tosse
felicidade,fumar tomar parar tosse verdadeiro equilÃxadbrio
raiva,Tosse alÃrgica saco cara
tristeza,surto nariz querendo entupir umas tosse estranha
tristeza,pooode peguei ventinho madrugada porque dormi descoberta aqui tosse asma falta
surpresa,outro ouvi tosse zoei covid realmente infectado
tristeza,tosse
tristeza,costas quadril tosse segunda feira
felicidade,Ainda tosse Alice diminuiu
surpresa,Paciente tosse cachorro usando spray garganta consulta achando atender
felicidade,desde manhÃ tosse
raiva,Verdade fazendo vacinas xarope tosse
raiva,tosse desgraÃada
raiva,tosse
medo,surto nariz querendo entupir umas tosse estranha
medo,acordei desespero falta pulmÃµes celebro confuo tudo relaxouâ httpstcouH5toptABo
raiva,fico revoltado falta senso pessoas pandemia ainda vÃxadrus existe vocÃ nemâ httpstcobjU60jyvLv
raiva,falta CiÃncia impondo pessoas usarem mÃscaras fazerem exercÃxadcios academiaâ httpstcoi8E1Zy7jfR
medo,desencadeei crise ansiedade nesse Ãltimo peito falta inexplicÃvel maihttpstcob9EdjHIfRS
raiva,Ontem passei tanto estresse acordei peito falta
tristeza,voltei segundaalÃm cansaÃo fraqueza esforÃar fisicamente falta aressa doenÃa estranha
raiva,horas consultar mÃdico falar tudo normal queria sentindo falta
medo,falta meeeeeu
tristeza,falta sentindo desejo
tristeza,coisa ruim falta peito U0001f972
tristeza,madrugada acordei falta sensaÃÃo
medo,morrer falta aguentando tanta tambÃm
surpresa,mano levantei passos pressao caiu fiquei falta rolou
raiva,conseguindo respirar direito falta constante nariz doendo PORRA desde ontem
medo,acho dormir noite toda acordo falta parece morrendo
raiva,Quase morrendo falta
raiva,Ãdio mulher trabalha aqui casa descobriu ontem marido tava covid veio trabalhar hojâ httpstcoCDVh7nwUJt
tristeza,falta vontade vomitar amado
tristeza,falta
medo,sentindo deus falta disse remedio bombannmelhor ficar internada certo
surpresa,Medindo temperatura pulsonNãããããooooonJá começou errado tocolonPode entrado cria… httpstco0XndxqaHkz
raiva,comentário deve área saúde médicoEnfim acred… httpstcof4j8ojuTsm
raiva,vagabunda acorda falando febre tava ontem fodida puta
felicidade,bday começou melhor forma febre matteu passou ganhei cesta café manhã
medo,sERA FEBRE
tristeza,acontece décadas Japão outros países asiáticosnGostaria sociedade assim evoluís… httpstco8u1JQIcWYr
nojo,jeitinho brasileiro burlar tocolo pandemia termômetros descalibrados áreas periféricas httpstcoqceCXj4bbL
raiva,Acordei doente disposta febre herpes paciência repito paciência
tristeza,ansidade pior muita febre vomito
tristeza,capacidade adoecer causa emocional merda qualquer coisinha febre
surpresa,enquanto avião febre tosse coriza espirros dificuldade respirar cure atendiment… httpstcou0NvMRTf0c
raiva,manhãneu acordei todo fudido cabeça febre porra pede ligar camera
felicidade,aqui febre teima passar resto relativamente
medo,Acho pegado juntas febre
medo,Acordei pouca Maria Luíza pelando febre Jesus
raiva,acordei melhor crente tava febre ainda
raiva,Acordei febre 😤🤦u200d
surpresa,brincadeira febre mesmoU0001f9cdu200d♂️
tristeza,sono febre querendo
tristeza,cabeça febre novamente 🤦🏽u200d
tristeza,febre passa
tristeza,febre foda
felicidade,semana todo madrugada manhã antes sair febre kkkkkkk U0001f970U0001f970U0001f970
tristeza,aqui postao bonja Rennan tadinho ardendo febre
raiva,passando febre cara querendo encontronnPqp noção preguiça responder trem desses
surpresa,mano acordei rosto vermelho sentindo muuuito quente peguei termômetro tava httpstcopGdjYVoqkd
raiva,pensa noite dormida inferno passei noite febre suando espirrando conseguir respirar httpstcolFe3Am2pQh
tristeza,Pior febre novo conseguir viajar
raiva,Porra caralho peço Unimed fumar manda esperar tanto Detalhe febre
raiva,febre infernoooo
tristeza,Quase febre resfriado
raiva,macumba peço desfaça favor dormir acordo febre garganta absurdo PORRA
tristeza,febre dormi NADA aguento
medo,febre ontem hoje acordei muita corpo disse oxigenação noite tava ruim meu… httpstcobcWroKajaV
raiva,Tmnc cheio febre odio
tristeza,conhecer alguém bichada cabeça explodindo febre corpo segunda dose httpstcovcetnOtpu0
tristeza,tomar banho gelado estando febre ruimm água corpo😫
tristeza,Trabalhar febre triste
surpresa,outro acordo febre
raiva,veio febre agora ódio mano
raiva,vsfd febre
felicidade,aqui febre teima passar resto relativamente
tristeza,Acho pegado juntas febre
tristeza,brincadeira febre mesmoU0001f9cdu200d♂️
tristeza,sono febre querendo
tristeza,febre novo nada quarta
tristeza,20min hospital senti febre tosse seca deus pode psicológico httpstcoxs0bHA4UEb
tristeza,aqui postao bonja Rennan tadinho ardendo febre
felicidade,tava queimando febre nesse aniversário amiga assim KKKKKKKKKKKK httpstcoK2EYTB3I2e
raiva,pensa noite dormida inferno passei noite febre suando espirrando conseguir respirar httpstcolFe3Am2pQh
tristeza,Quase febre resfriado
tristeza,febre braço obrigado anti tenica
tristeza,blema ansiedade ficar ansioso precisa dormir dormir ansioso restan… httpstcoEreGkTUP2Y
raiva,foder tempo crise ansiedade literalmente totalmente desarmado… httpstcoYQwnOCbwyU
tristeza,falta sentindo desejo
surpresa,morri aqui falta
medo,Acordei puta falta sentindo ansioso menos tava risos corona
surpresa,acordei susto falta
raiva,gente ódio desse corona vírus maldito fechar tempo fico sentindo peito pesado respiran… httpstco9oTfwxQZNh
raiva,Cinco meia manhã ponto esperando ônibus trabalharme segurando chorar falta filha puta
tristeza,madrugada acordei falta sensação horrível
tristeza,peito falta
tristeza,falta foda parece fechado crlho arrependido
tristeza,morrer falta aguentando tanta cabeça
medo,deus desespero falta deus
tristeza,coisa ruim falta peito U0001f972
raiva,Quase morrendo falta
tristeza,falta vontade vomitar amado
medo,Hoje saÃxad casa nÃnPrimeira anontima desde marÃo nFui podia httpstcoq4WUHIGpCp
medo,Aiii doenÃas escola assustamme pediatra avisoume preparese httpstcox6n5b6kWZW
felicidade,explicando chÃzinho tosse kkkkk
raiva,tosse covid Nunca gritou alÃm normal ponto httpstcodWD5R2ZayN
raiva,reportagem tosca mÃscaras COVID eficientes impedir vÃxadrus quase nenhuma httpstco2krSm32Hgl
felicidade,apÃs Covid momento tosse ainda incomoda tirando Acho novo novo Soli Gloria
raiva,tosse carai
raiva,INFERNO TOSSE DEUS CÃ‰U ÃDIO
raiva,pessoas achar COVID nada demais Hoje bebÃ mesehttpstcojXzpxqG6OS
tristeza,tosse insuporvel aguento maisnhttpstcoLWdVxrgpL6
raiva,tosse seca coceira garganta irritando demais
felicidade,crise tosse farmÃcia kkkkkkk Ãdio
tristeza,simplesmente aguento situaÃÃo atualnFebre cimanSuar litronTosse rasgando tudonFalarâ httpstcoZL0sNjVrRH
felicidade,tava catarro etalndai inventei corretivoliquid paper passou tosse catarroKKKKKKKKK
raiva,deus mano tosse
tristeza,tosse peito doendo nunca
raiva,muita tosse odioooo httpstco2ctf4E2fzP
raiva,garganta doendo nariz escorrendo entupido tossenalguÃm vacina amor deus
felicidade,tomando xarope tosse vontade tomar vidro inteiro xarope delicia
tristeza,tossindo dias tosse nada acontecendo
raiva,tosse infernal
felicidade,meio tosse covid finalmente passou demÃnio derrotado
raiva,vontade morrer causa tosse puta pariu infeeeeeerno
raiva,Tosse chata U0001f92c
felicidade,Primeiro caso COVID olha risada misturada tosse kkkkkkkkk
felicidade,Seráva tosse morria infecção ksksskkk
tristeza,Levas vista passa tosse😌
raiva,tosse covid Nunca gritou além normal ponto Pert… httpstcodWD5R2ZayN
nojo,reportagem tosca máscaras COVID eficientes impedir vírus quase nenhuma httpstco2krSm32Hgl
raiva,discuti ônibus conta máscaranE pessoas colocaram fingi tosse algumas… httpstco54EXhuSeEm
raiva,sistema saúde beleza reclamou qualquer coisa COVID nFaz teste dengue poderia apare… httpstcoWp2tHfxDWK
felicidade,lembra falou tava pouco tosse falou enfisema hahahahhahaha
raiva,Porra viado demora fiquei quase ainda tosse
tristeza,menina pior melhorei TUDO nariz desentupiu garganta parou doer httpstcoaom2htiyro
raiva,INFERNO TOSSE DEUS ÓDIO
raiva,tosse carai
tristeza,tosse insuportável aguento maisnhttpstcoLWdVxrgpL6
raiva,tosse seca coceira garganta irritando demais
tristeza,tosse estourando garganta forma
tristeza,meses tosse cessa Nesse período dois testes covid deram fazer
felicidade,crise tosse farmácia kkkkkkk ódio
surpresa,foda tempos covid gente fica U0001f92f qualquer falta tosse
raiva,deus mano tosse
medo,garganta doendo nariz escorrendo entupido tossenalguém vacina amor deus
raiva,muita tosse odioooo httpstco2ctf4E2fzP
raiva,tosse infernal
raiva,Tosse chata U0001f92c
felicidade,meio tosse covid finalmente passou demónio derrotado
raiva,vontade morrer causa tosse puta pariu infeeeeeerno
raiva,Pensem CARALHADA gente MORREU causa desse combo maravilhoso cure ajuda médica… httpstco9bWR7I0Gsj
raiva,Fique casa sentir falta venha morrer hospitalnIsto crime contra saúde pública
raiva,Pois primeira suspeita correram comprar Bozo tomaram calad… httpstco21VULYRMn8
felicidade,menos nini rinite atacada pouco falta viva U0001f929
tristeza,Cada falta sabe
tristeza,falta
tristeza,Falta caralho
tristeza,falta
tristeza,falta grave anemia cachorra vomitando cabeça Deus calma
tristeza,preocupada marido passou falta dias httpstcoPCTI0P7tEy
raiva,sacanagem infeliz covid transmitido jogadores httpstcoMSQRHPnZem
raiva,validade comvante identificação Unidade vacinadornÉ vacinados httpstco2qjmLBCbSB
surpresa,diagnostico amidalite bacteriana semana testes COVID deram além httpstcoWez0OsFNvQ
medo,cabeça corpo meio mole tipo estar sabe febre enquanto httpstco0neWnmwFPk
medo,febre achando morre
tristeza,acordei febre tomara xima dormir morra
tristeza,gente sinceramente aguento corpo febre cabeça
tristeza,nega febre U0001f97aU0001f97aU0001f97aU0001f97aU0001f97a
raiva,Crlh febre inferno
tristeza,corpo febre faltava hoje
tristeza,febre parece morrer
tristeza,Fazia vida febre ruim demais
medo,mainha pode sentir febre fico morta preocupação deus livre filho endoido
raiva,aguento febre volta porra U0001f92c
tristeza,Senhor sono febre cansaço caçar parada
tristeza,febre demora boca estoura todinha
raiva,queimando febre
raiva,imunizadah porém terrível braço febre ódio reação
raiva,neném cheio febre quietinho Vacina fdp😪
tristeza,ando muita falta socorro😫
tristeza,Cada falta sabe
felicidade,falar falta público engraçado povo fica espantado
raiva,falta
tristeza,Falta caralho
raiva,falta caralho
tristeza,falta
raiva,Falta inteiro tmnc
medo,muita falta ultimamente chegou hora
medo,preocupada cara saco dando falta
medo,preocupada marido passou falta dias httpstcoPCTI0P7tEy
tristeza,febre Maria Júlia passa 🤦🏼u200d🤦🏼u200d🤦🏼u200d🤦🏼u200d🤦🏼u200d🤦🏼u200d🤦🏼u200d🤦🏼u200d🤦🏼u200d🤦🏼u200d🤦🏼u200d🤦🏼u200d
felicidade,Fiquei doente tava febre tosse ardência olhos melhorando
tristeza,febre quero chorarrrr
tristeza,bastasse Hellena cama agora febre passou Laura 🤦🏽u200d
raiva,crlh fiquei quente sonolenta nada febre doida
tristeza,nada fiquei febre
tristeza,febre veio
tristeza,febre cuidar
raiva,ACREDITO FICAR FEBRE NOVO ACONTECER
tristeza,acredito febre U0001f97aU0001f97a
tristeza,Fazia vida febre ruim demais
tristeza,Henry resolveu febre 🤦🏽u200d
raiva,Porra febre passa
tristeza,fechar merda febre cabeça
raiva,febre chata
raiva,odio febre
tristeza,Queimando febre😓
felicidade,febre hoje garganta segue daquele jeito
felicidade,mandar irmã pedir umas instruções melhorar febre kkkkkk
tristeza,cheia febre
tristeza,cabeça febre
tristeza,febre
raiva,Toda hora febre volta tmncU0001f92f
raiva,algum souber avisa tosse
raiva,Tosse dentro boca delenAqui resolveu algumas vezes comecei tossir pesado catarro httpstcoYOD9cqArS8
raiva,vontade socar tosse perto máscara ENORME nRanço gente noção
felicidade,garganta fudida tanto casa hoje kkkkkkkk visse povo todo sobre… httpstcodbbaMeuCyv
medo,0540 consigo dormir tanta tosse deus matando
raiva,tosse cacete
raiva,Caralho tosse satanás jeito nenhum dormi nessa porra
raiva,chego casa ataca maldita tosse
raiva,crise tosse agora sério
tristeza,Crlhou parece negócio arranhando gargantaranço tosse
tristeza,Funga tosse tosse funga espirra tosse funga aguento
raiva,irmão suspeita covid fica andando casa espirra tosse ódio quero httpstcoYyampPbtO6
raiva,conseguindo dormir causa tosse gripe amadoo
raiva,foda dormir durmo direito tosse inferno dias desse jeito aguento sinto httpstco5FJBv5D4b6
raiva,tosse chata caralho
raiva,tosse crlh
raiva,tosse cólica CARALHOOOO
raiva,tosse chaaaata
raiva,tosse dormi
raiva,amiga querida Covidsem olfato paladar ctosse marido maldito negacionista… httpstcoq1Y2YAh3VF
tristeza,coceira garganta danada tosse horrível
tristeza,vontade enfia tosse
tristeza,pior alguém falta principalmente básico hipotese algum… httpstcoRLE5hMkoGT
tristeza,ansiedade dormir ruim deita tenta dormir foca nervoso falta triste caras
tristeza,toda pensando corona falta ansiedade consumindo
