Data,Polaridade,Paul Ekman,Tweets Limpos
2/5/2021,neutro,felicidade,tia Covid tratou chá boldo chá alho mel açafrã… httpstcozagD6uTkWQ
2/5/2021,negativo,tristeza,garganta inflamada tosse febre 2 dias to dores corpo
2/5/2021,negativo,neutro,disse parar mês porque saindo umas bolotas pretas tosse precisa cuidar
2/5/2021,neutro,neutro,Estás tosse qualquer coisa vista D
2/5/2021,neutro,neutro,beau tosse
2/5/2021,negativo,raiva,Afff tanta tosse slc
2/5/2021,negativo,tristeza,tosse normal
2/5/2021,negativo,tristeza,Crise tosse hora 😩
2/5/2021,negativo,raiva,Detesto ter crise tosse hora errada máscara pior ainda
2/5/2021,negativo,raiva,nada crise tosse 😒
2/5/2021,negativo,tristeza,tosse cachorro ataca vou dormir
2/5/2021,negativo,raiva,tosse n passa 🙄
2/5/2021,negativo,tristeza,Tosse tá acabado cmg
2/5/2021,negativo,raiva,tosse tá fudendo tnc
2/5/2021,negativo,raiva,tosse insuportável dias 🤦🏻u200d
2/5/2021,neutro,neutro,c blusa escrito Rio Sus crise tosse mulher vazou lado kkkkkkkkkkkk q ódio
2/5/2021,negativo,raiva,queria fazer  NFS brabos  tosse DESGRAÇADA  parecendo tiazinhas bar esqu… httpstcoUualKpnYNg
2/5/2021,negativo,raiva,Gente coisas nessa cidade surreais Comecei passar mal segunda tardezinha febre dores genera… httpstco70YW1NQPi1
2/5/2021,negativo,tristeza,Mds tosse Deus U0001f97a
2/5/2021,neutro,surpresa,deus to sintomas covid menos tosse agora
2/5/2021,negativo,neutro,N sei tá pior hoje tosse cólica dor cabeça
2/5/2021,negativo,raiva,dormi nada noite tosse levantei estressada
2/5/2021,negativo,neutro,Nariz entupido 👍 nGarganta inflamada 👍nOuvido entupido 👍nTosse cachorro 👍 nnPor aqui Tá tudo ok
2/5/2021,negativo,raiva,crl dormir tosse 🤧🤧🤧
2/5/2021,negativo,raiva,tosse infernalU0001f97aU0001f97a
2/5/2021,neutro,neutro,rindo calor tosse ok
2/5/2021,negativo,tristeza,tosse alérgica chata
2/5/2021,negativo,medo,tempo virar fiquei tosse seca agora cu mão
2/5/2021,neutro,medo,Thalles acordou tá tosse seca🤧
2/5/2021,negativo,neutro, tosse chata
2/5/2021,negativo,raiva, tosse insuportável🤦🏻u200d
2/5/2021,negativo,raiva,tomei remédio dormir nada acordei tosse caralho conseguir respirar akguem explica brisa
2/5/2021,negativo,raiva,Tosse chata pqp
2/5/2021,negativo,raiva,tosse chata
2/5/2021,negativo,raiva,Tosse krl
2/5/2021,positivo,medo,Tosse seca incessante respiração pesada paranoia caralho insônia chegou hora
2/5/2021,positivo,felicidade,peguei covid dia 3 janeiro curei xarope corticoide Paracetamol 750mgnHoje esto… httpstco1m1dqsSXEF
2/5/2021,neutro,surpresa,primeiro dia Fez aula experimental  Aqui Fortal Ã febre
2/5/2021,neutro,neutro,Bota alho suvaco fala q ta c febre vai embora
2/5/2021,negativo,neutro,Passei madrugada inteira febre dor  forte
2/5/2021,negativo,neutro,mentira importaria febre mandaria foto msm assim
2/5/2021,neutro,tristeza,irmÃo febre emocional  queria  
2/5/2021,neutro,neutro,CrÃxadtica Filme Febre faz mergulhar Brasil dificilmente alcanÃamos httpstcoaKErH21YJg cinema netflix cinemabrasileiro
2/5/2021,neutro,neutro,Febre httpstco3czzG90Tls
2/5/2021,neutro,neutro,tempo  Ã bom  filho alÃrgico tempo Maxwell  amanheceu c febre x8fu200¸x8f
2/5/2021,neutro,neutro,Febre Amarela casos suspeitos Lages eso sendo monitorados municÃxadpio httpstcoVhYteyNN9y
2/5/2021,neutro,neutro,cedimento posxadvel driblar medrosos MeÃa temperatura pulso aparelho acusar normalâ httpstcou9wKhXdcRy
2/5/2021,neutro,neutro,Vc pode tomar banho temperatura aparentemente baixar mediÃÃo tehttpstconwsTJJfP5P
2/5/2021,neutro,neutro,Vini  febre
2/5/2021,neutro,neutro,oii amor vc ta cm febre dor  ainda ia ta melhor
2/5/2021,negativo,tristeza,to febre pressao baixa sabe nao to aguentando
2/5/2021,neutro,neutro, 26 novo   calornEu acho tava febre
2/5/2021,positivo,neutro,ã…nã…Bom dia moots Eso bem  Ãtima apesar  ter dormido direito febre aparentemente acalma httpstco4cgimUpbs9
2/5/2021,negativo,neutro,acordei dor garganta dor  ontem tava febre
2/5/2021,neutro,neutro,acordei febre dor 
2/5/2021,neutro,neutro,Acordei febre hj nada bem aff
2/5/2021,negativo,tristeza,Acordei febre Ãdio
2/5/2021,negativo,tristeza,ai desculpa gnt acordei sentindo tao mal  sinto febre
2/5/2021,positivo,felicidade,menos  febre
2/5/2021,neutro,neutro,Boa qm acordou febre vomitandox8d
2/5/2021,negativo,tristeza,Bom dia muita febre comeÃa dia affs ’
2/5/2021,positivo,felicidade,Bom dia acordou febre doooor„
2/5/2021,negativo,neutro,Bom dia febredor  garganta xadxad
2/5/2021,neutro,medo,vai trabalhar nessa chuva moto pelando febre
2/5/2021,neutro,neutro,n sei to delirando hipnÃticos febre sei  vi  4 conhecidos aqui casa deleâ httpstco8wtWoYwDmA
2/5/2021,neutro,neutro,Garganta ficando inflamada querendo dar Febre
2/5/2021,neutro,neutro,garota  queimando febre cr
2/5/2021,neutro,neutro,JM c febre xad
2/5/2021,positivo,neutro,Jorge Jesus segue casa sentiu falta ar febre Hoje fez novos exames Toda sorte Mister luta conâ httpstcoX6Z6qXxAai
2/5/2021,neutro,surpresa,krl to 39 febre mlk
2/5/2021,neutro,neutro,ligou falei falta ar perguntou tava tossindo febre falei q   mandou tomar remÃdio qualquer
2/5/2021,neutro,neutro,Febre dor corpo ’•
2/5/2021,neutro,neutro,febre constante dom cura instante som fÃria
2/5/2021,neutro,neutro,comeÃo pedia medirem testa comecei sentir o idiota obviamente  febrâ httpstcoE5r9zwAVCl
2/5/2021,negativo,neutro,restou UPA onde ainda  havia tido primeira experiÃncia atendimento Chegando lÃ apÃs alâ httpstco1PY4REIsFh
2/5/2021,neutro,felicidade,ouvi aferir febre dar pistolada ahaha
2/5/2021,neutro,neutro, friozinho  febre
2/5/2021,neutro,tristeza,Talvez fico off pq enfermeira falou vou ficar febre
2/5/2021,neutro,tristeza,to pÃ desde 6 to achando clima o friozinho seco sera ta to c febre
2/5/2021,negativo,raiva,Ãtimo dia acordou 383Â febre apÃs ter crise frio tremedeira madrugada «
2/5/2021,negativo,neutro,populaÃÃo geral reclamando sintomas horrÃxadveis apÃs vacina coisa 24 48â httpstcoAc7DprdjPm
2/5/2021,negativo,raiva,cidades pessoas querem vacinar  vacina Aqui onde moro existe cultura negâ httpstcoQiMqmgy84O
2/5/2021,negativo,tristeza,Olha subestimei reaÃÃo vacinalnDor braÃo piorou 10x dor  holocraniana conxadnua desconforto abdoâ httpstcoUH96lDbezu
2/5/2021,neutro,neutro,Tosse direÃÃo
2/5/2021,neutro,neutro,Karol agora mexeu casa maribondonSe mexer GilnEla vai ver Ã bom tosse ‚nnbbb21 nbbb21aovivonPâ httpstcoucjfpoCxa2
2/5/2021,negativo,neutro,sintomas menos gosto maconha o tosse paranoia Toda vez fumo acredito piamente peguei Covid
2/5/2021,neutro,felicidade,Todo mundo fuma Ã tosse  gnomo espirra gasta onda cr kkkkkkkkkkkkkkkkkkkkkkkkk
2/5/2021,negativo,neutro,zhonfli tosse igual velho
2/5/2021,neutro,surpresa,ontem crise tosse madrugada socorro
2/5/2021,negativo,tristeza,tentei espirrar dentro  agora to tosse
2/6/2021,neutro,neutro, fala âaiâx9d morre alguÃm falta leitos  fala âaiâx9d fal httpstcogXy2GUGOEK
2/6/2021,negativo,raiva,Final gravidez  posiÃÃo dormi falta ar dor coluna outras coisas
2/6/2021,neutro,neutro,sintomas falta ar  acontece apois 4 5 dias primeiros sintomascorrespondentemedico
2/6/2021,negativo,tristeza,Sabe socos esmago chega deixa falta ar Eno nunca consegui respirar
2/6/2021,negativo,tristeza,barulho especÃxadfico despertador Iphone lembra fase ruim toda vez dispara celular deâ httpstcoRYDB4mTttk
2/6/2021,negativo,tristeza,vei to o triste tava andando rua mÃe veio senhora q parecia precisar ajuda pergunâ httpstcogF7cGmONly
2/6/2021,negativo,neutro,fico lendo atualizaÃÃµes BBB aqui cada fala grupinho lÃ  falta ar o nervosa fico
2/6/2021,negativo,tristeza,tanto medo perder outra pessoa  pensar falta ar ansiedade bate hora
2/6/2021,neutro,neutro,Eno vc Ã favor VÃ p hospital  qdo falta ar P qualquer doenÃa pâ httpstcoRZaqKOvp3E
2/6/2021,neutro,neutro,Cloroquina salvou muita gente jornalistas criminosos querem matar vocÃ vou lembra frase Fiqâ httpstcosJn3UQ6R5K
2/6/2021,negativo,neutro,CrÃxadticas ex ministro genocida fique casa  cure hospital falta deâ httpstcounfHiV39Se
2/6/2021,neutro,neutro, Ã ministro FIQUE CASA A‰ SENTIR FALTA AR
2/6/2021,negativo,felicidade,Mandetta deveria ser responsabilizado mortes primeira ondapois Ã crime eleâ httpstcoewekZ6AUPk
2/6/2021,negativo,neutro,alguÃm paÃxads pode ser classificado genocida Ã aÃxad âFique casa eâ httpstcobgHoyElUWt
2/6/2021,neutro,neutro,Vcs merecem parabÃns genocida mandou povo ficar casa a sentir falta ar
2/6/2021,neutro,neutro,Tratamento precoce primeiros sintomas Ã claronPois pessoa deixar vÃxadrus tomar corpoâ httpstcofQqBoNP0pL
2/6/2021,negativo,raiva,Falta ar caralho
2/6/2021,positivo,felicidade,mesma adeÃo cloroquina  remÃdio indicado presidente ctz teriâ httpstcoRJYJ6HT0Bp
2/6/2021,positivo,neutro,Podese dizer vc nasceu novo pqdeve ser agoniante ficar falta ar
2/6/2021,positivo,felicidade,obgg amg to medicando casa gripe vou esperar ver muita falta deâ httpstcoaCAdxhNTPR
2/6/2021,neutro,neutro,Acho falta ar parece  puxando ar suficiente
2/6/2021,neutro,neutro,Acordei falta ar tendo pesadelo bom dia
2/6/2021,neutro,neutro,acordri comoCom nariz sangrando falta areba
2/6/2021,neutro,surpresa,caralho falta ar
2/6/2021,negativo,medo,manhÃ cedo falta ar  alÃ ansiedade vai calma aÃxad
2/6/2021,negativo,nojo,nada falta arŸ
2/6/2021,negativo,tristeza,Falta ar HR foda
2/6/2021,neutro,medo,mds covid m nunca tanta falta ar assim nada
2/6/2021,neutro,surpresa,senhora to falta ar
2/6/2021,neutro,tristeza,Ãnico dia invento dormir tarde q acordar cedo causa falta ar olha sinceramente
2/6/2021,negativo,tristeza,bom Ã  comecei sentir falta ar viajar doente pausa
2/6/2021,negativo,tristeza,peito ifalta ar  consigo dormireu queria pesadelo acabasse
2/6/2021,neutro,medo,puts mano medo morrer falta ar
2/6/2021,neutro,neutro,falta ar U0001f928
2/6/2021,neutro,neutro, falta ar desde ontem
2/6/2021,neutro,neutro, falta ar
2/6/2021,neutro,neutro,to meio falta ar garganta ruim  sentindo gosto cheiro normalmentenfalei semana eâ httpstco9xrsGTyRkB
2/6/2021,negativo,raiva,Andreia sabe alergia clorofina encheu louÃas pia merda  falta arâ httpstcoZpulem3DTR
2/6/2021,neutro,neutro,galera jeto antes nomes precisa ir rincÃo ver jeto povo Ã comer ter luz câ httpstcodgn6zEjNUC
2/6/2021,negativo,medo,oq vi n pontinha q Manaus es passando msm assim fiquei choquevi monte gente gritandoâ httpstcoiDJ32P8Lj0
2/6/2021,negativo,tristeza,lembro parte chorei tanto tanto fiquei falta ar nunca vou superar relaâ httpstco6cwWv6wjPW
2/6/2021,neutro,tristeza,xadxadxadxad Vivi algo assim Es hÃ 1 semana disncia Luca chamou pedindo âFazer Jesusâx9d mofoâ httpstco6pFCSi8V0z
2/6/2021,negativo,raiva,todo mundo morreu falta ar culpa eh
2/6/2021,negativo,raiva,disse  a falta ar passar rÃveillon praia âfervoâx9d  falta ar Ã ver vocâ httpstcoiL0pVM7j8C
2/6/2021,positivo,neutro,Calor bronze praia cerveja menozada vendendo Ãgua ar mÃximo churrasco futebol pagodennChâ httpstcoHNDmgBtMMD
2/6/2021,negativo,raiva,FALTA RESPEITO PEDRO Tudo votar nia NenÃ peido ambulante vir poluir ar cÃ bbtvi
2/6/2021,negativo,tristeza,tb n gosto coceira alergia falta ar rs Uso pulso entrar lojas infelizmente
2/6/2021,neutro,tristeza,Toda vez q uso Qboa limpar casa fico falta ar  consigo deixar usar
2/6/2021,neutro,felicidade,Toda vez coloco mÃscara fico falta ar KKKKKKKKKKKKKK
2/6/2021,negativo,raiva,vsfd mÃscara covid  mo falta ar q saio assim
2/6/2021,negativo,raiva,falta ar chata Ã essau200‚¸x8fnSextaDetremuraSDV
2/6/2021,neutro,neutro,vei lembro q surtei tanto q fiquei falta ar real
2/6/2021,neutro,neutro,acho q falta ar acho q Ã ansiedade
2/6/2021,neutro,neutro,Azia falta ar obrigado final gestaÃÃo difÃxadcil saber falta Ã HeloÃxadsa mto grande ansiedade U0001f974
2/6/2021,neutro,medo,fico toda torta falta ar condiÃÃµes
2/6/2021,negativo,medo,eh mto ruim  fiquei falta ar  lembrar kkkkkkkk
2/6/2021,negativo,medo,Ã‰  to dia todo aperto peito falta ar formigamento suando frio pai jaâ httpstconcyyvx40B2
2/6/2021,neutro,neutro,ai amg melhoras viu quiser mando  exercÃxadcios respiraÃÃo mt bons ajudam melhorar falta ar
2/6/2021,neutro,neutro,TambÃm deve ser quase matou muitos esperaram ter falta ar curar nto socorro httpstcoyUu1zL21K0
2/6/2021,neutro,felicidade,âmeo falta arâx9d nârespira uaiâx9d nnKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKK DORINHA
2/6/2021,neutro,felicidade,amg vai calma q asma fotos deixaram falta ar
2/6/2021,neutro,felicidade,‚‚‚‚ Fique casa a sentirem falta ar
2/6/2021,negativo,raiva,RT La falta competencia genera incompetencia nhttpstcoN9WG9jjWln vÃxada
2/6/2021,negativo,neutro,Sim fiquem casa a morrer falta ar
2/6/2021,neutro,neutro,tendo crise riso banheiro nnminha mente nno filha puta falta ar desgraÃada vai morrer bâ httpstcoDwoJHOpZRN
2/6/2021,negativo,raiva,mono orio fica casa embebedando CloroquinaazitromicinaIvermectina falando qâ httpstcoV7nawT4wrw
2/6/2021,neutro,neutro, tens falta ar qd pensas cadeiras
2/6/2021,neutro,neutro, alergia atacada falta ar kkkkkk
2/6/2021,neutro,tristeza,2 meses atrÃs falei p pais q tava sentindo falta ar hoje q interessaram saber sinto x8d
2/6/2021,neutro,neutro, sei oq passou  fazer carinho gato agora  quase morrendo falta ar
2/6/2021,neutro,neutro, Ã desculpa  usar TambÃm sinusite crÃnica rinite falta ar utilizo minhâ httpstcoQ3wDWFa4Q9
2/6/2021,neutro,tristeza,RT Morreu aluno dentro sala aula tradicionais colÃgio Teresina Senti falta ar dificuldade deâ
2/6/2021,negativo,neutro,ALERTA CORONAVIRUS U0001f9a0nnColapso sanitario en Brasil · MÃs tres mil muertos en 72 horas y trasladan cientos deâ httpstcowRke1nAsFT
2/6/2021,neutro,neutro, to entendendo falta ar nd
2/6/2021,neutro,neutro,passei dia inteiro falta ar dor peito agora to hospital
2/6/2021,negativo,medo,falta ar  es legal 
2/6/2021,neutro,neutro,Nao sei dormem tranquilos Tantos morreram ficar casa curar hohttpstcofhy0gB7Ybh
2/6/2021,neutro,neutro, falta ar kk httpstco9PLgedAFqi
2/6/2021,neutro,neutro,to sentindo falta ar n sei dizer Ã ansiedade to morrendo msm
2/6/2021,negativo,neutro,falta ar veio cedo hj fiquei deus
2/6/2021,negativo,neutro,Falta ar terrÃxadvel
2/6/2021,neutro,neutro,falta ar dor  x8d
2/6/2021,neutro,tristeza,pÃ cansa deitada falta ar pqp  foda
2/6/2021,neutro,neutro,principalmente falta ar receitado cloroquina desinflamar pulmoes tiveâ httpstcoeFuE3tLyvI
2/6/2021,neutro,neutro,meo falta ar
2/6/2021,neutro,medo, muita falta ar serÃ vou morrerx8d
2/6/2021,neutro,tristeza,lÃ falta ar novo
2/6/2021,negativo,neutro,suando caralho morrendo falta ar
2/6/2021,positivo,felicidade,71 esposa 69 onze famÃxadlia conhecidos todos tratados casa Kiâ httpstcoWghBGbyW4U
2/6/2021,neutro,neutro,Ca farmacÃuticos plano tt p passar remÃdio p falta ar
2/6/2021,negativo,raiva,A falta ar to vsf
2/6/2021,neutro,neutro,4 dias medicamento sinto corpo queimar dentronE nadanEu comeÃo tremernA soar perder viâ httpstcogZxRpLgZKm
2/6/2021,neutro,neutro,tontura  cada vez forte  cada vez falta ar yay
2/6/2021,neutro,neutro, aguento ficar vick vou ter comprar  morrendo falta ar
2/6/2021,neutro,medo,Peguei COVID Ãnicos sintomas oro desesperadamente  ter Ã falta ar perca paladar httpstcoj6zXGH8T6H
2/6/2021,neutro,neutro,pensamdo awui ta acontecendp cada vez nenhum motivo nadA falta ar aÃxad enterro jukiaâ httpstcoiaNE4DhHfv
2/6/2021,neutro,medo,prima tomou vacina  mal  sei Ã reaÃÃo  desde terÃa diarrÃia febre alxadssima falta ar
2/6/2021,neutro,raiva, bebendo  consigo fica fumar aÃxad tosse maldita pegÃ u200¸x8fu200¸x8f
2/6/2021,neutro,neutro,AMG forÃa tosse sair  sair ai bebe Ãgua descer   jeito tirar daÃxad
2/6/2021,neutro,medo,Deus amado teja  Ãnibus tosse todo lado
2/6/2021,negativo,raiva,Ã velha vergonha devia ser presa espero conheÃa algum pai filhinha estuhttpstcozXHpBVLdR6
2/6/2021,neutro,felicidade,toda vez chego perto pai tosse imitar saco KKKKKKKKKKK
2/6/2021,neutro,neutro,tempo muda ea Manu muda juntinho comeÃou tosse «
2/6/2021,neutro,neutro,cara meio amassada tosse aliviou eno vamos livenDiÃrias Misµes lenrias genshinn tarde sonâ httpstcoGOxlWNcIz8
2/6/2021,neutro,neutro,espirra desce ntu tosse desce ntu fala desce ntu senta descentu deita desce ntu levanta desce nnque Ãdio
2/6/2021,neutro,neutro,sempre li famoso COF COF quadrinhos Tipo tosse falsa enfatizar
2/6/2021,neutro,neutro,Lkkkkkk fazer nariz trancado tosse imagine luta prender respiraÃÃo
2/6/2021,neutro,neutro,Comprei spray prÃpolis gengibre mel tosse queria saber quantidade certa espirrar Pâ httpstco5emazLG567
2/6/2021,neutro,neutro,peida carro anda igreja tosse time any voce  coisou
2/6/2021,neutro,neutro,Tuberculose pega saliva tosse deâ httpstcotcPj8qYb5U
2/6/2021,neutro,neutro,Ã bom pÃ gripe bom pÃ tosse aucelora
2/6/2021,neutro,neutro,non mi mancato lattacco di tosse serale perdi ataque noturno tosse
2/6/2021,neutro,neutro,Ã primeiro golpe bebÃs aprendem aplicar kkkkk irmÃ nova fazia direto tosse hahaha
2/6/2021,neutro,neutro,crise tosse fila banco httpstcopwzb5ZXcTA
2/6/2021,neutro,neutro,tanta informaÃÃo COVID celular vibra tosse
2/6/2021,neutro,neutro,dormindonA aula comeÃa 730 acaba 1340 daÃxad fico sono fome aâ httpstcoyMLz6Osktg
2/6/2021,neutro,neutro, tosse nenhuma  sacanagem cmg pq aprentossir chamar atenÃÃo fazer manhÃ aÃxad ficou usando cmg
2/6/2021,negativo,medo,crise tosse meio rua medo ser linchada
2/6/2021,neutro,neutro,ficar segurando tosse dentro Uber es sendo maior desafio dia
2/6/2021,neutro,neutro,Mana fiz escÃndalo verdade Kkkkjkkk  consegui controlar crise tosse todo mundo ouviu kkkkk
2/6/2021,negativo,raiva,Glu glu coff coff cofftosse tuberculosa velho iÃ iÃ
2/6/2021,neutro,neutro,Io lo mettevo ai miei bambini avevano raffreddore tosse poi non lho piÃ¹ usatocostumava colocar filhos resfriados tosses usava
2/6/2021,negativo,raiva,OpÃ homem es bem Juro devÃxadamos juntar rie assinaturas ver bom tosse
2/6/2021,negativo,surpresa,alguÃm tuberculose lÃ dentro quanta tosse bbb21
2/6/2021,neutro,neutro,Ha detto che ieri aveva mal di testa ma non ci ha dato tanto peso Poi ieri sera le Ã¨ venuto il mal di pancia haâ httpstcooVR3bdjZ2itweet disse dor cabeça ontem pensou nisso Eno noite passada dor esmago httpstcooVR3bdjZ2i
2/6/2021,neutro,neutro,Bevo sto sciroppo non Ã¨ per la tosse U0001f92aU0001f92aEstou bebendo xarope tosse
2/6/2021,positivo,felicidade,Digo  passando fase Ber vai  suavennFiquei boa alg sintoâ httpstcoZdnBcUNKUA
2/6/2021,negativo,felicidade,dor  Ã  tosse  parecendo cavalo garrotilho kkkkkkkkkkkk
2/6/2021,negativo,tristeza,tosse chata x8fu200¸x8f
2/6/2021,negativo,raiva,tosse fdd to entupindo xarope n passa nada
2/6/2021,neutro,neutro,1 pai mÃe 1 eso sintomas leves febre tosse
2/6/2021,neutro,neutro,Vou ter ir hospital ver Ã tosse x8fu200¸x8f
2/6/2021,neutro,neutro,quebra aÃxad tosse dor garganta kkkkkkkkkkkk
2/6/2021,negativo,tristeza,remÃdio ta curando tosse
2/6/2021,neutro,neutro,a tosse seca kkkkkkkkkkk
2/6/2021,neutro,neutro, pigarro hj tosse seca cansaÃo
2/6/2021,negativo,neutro, estavo c tosse braba agora piorou ”¸x8f
2/6/2021,positivo,felicidade,Acho q peguei domingo  dor  tosse febre baixa oxigenaÃÃo  boa agora  sentindo bem
2/6/2021,negativo,tristeza,Super cansadacom dor dor peitocalafriostosseespirroenfim covid literalmente
2/6/2021,neutro,neutro,febrao tosse
2/6/2021,negativo,medo,ivy ataque tosse engasgouse vÃla parecia morta  consigo parar tremer
2/6/2021,neutro,neutro,ApÃs tosse dor garganta secrerio SaÃde ParanÃ Beto Preto testa 1 Covid19â httpstcop1NKzlr6tl
2/6/2021,neutro,tristeza,Levei Mariana pediatra antes tempo porque super preocupada tosse  paraâ httpstcoOUgzCwSEfM
2/6/2021,negativo,raiva,acordei c tosse desgraÃada
2/6/2021,neutro,tristeza,faz 3 dias to tosse cu
2/6/2021,negativo,felicidade,Ahsuahduahdhshshshsmsocnsgkndkzncjsjxmskz tosse cachorro ahsushshshdhsmvksmskndos httpstcoQjQcc7iytR
2/6/2021,neutro,neutro,Hoje intubei paciente COVID uso nnHidroxicloroquina nIvermectina nCefuroxima nAzitromicina nColchâ httpstcozW9s7MVVXc
2/6/2021,neutro,neutro,pois Ã  febre tosse meio fraca  marcela acha pode ser falso posi httpstcoPCt9Jrug0K
2/6/2021,negativo,tristeza,tosse chata  matando
2/6/2021,negativo,tristeza,Sta di fatto che io ho passato pomeriggio infernonon ho voce ho una tosse che non mi treguaO fato passei tarde inferno voz tosse dá trégua
2/6/2021,neutro,neutro,tomei remÃdio tosse simplesmente  consigo ficar 10 min acordada kkkk q porra Ã
2/6/2021,negativo,raiva,Tosse chata crlh toda hr q fazer nebulizaÃÃo q sacou200¸x8f
2/6/2021,neutro,neutro,Tomando mel limÃo tosse cigarro dedo  piada
2/7/2021,neutro,neutro,Cara cara pele pele suor pingando corpo febre
2/7/2021,neutro,neutro,Vc febre
2/7/2021,neutro,neutro,tiveste febre
2/7/2021,negativo,neutro,brinco qdo vÃo aferi temperatura esposo entrada supermercadovc acha q tivâ httpstcoRq26YBZbu6
2/7/2021,neutro,neutro,KKKKKKKKKKK prefiro dizer  febre amarela
2/7/2021,neutro,neutro,febre  implica necessariamente indisposiÃÃo treino testagem aferiÃÃo temperaturaâ httpstcoW0hjRXoKZX
2/7/2021,neutro,neutro,ta febre
2/7/2021,neutro,neutro,febre
2/7/2021,positivo,neutro,ontem pior dia princÃxadpio febre talnhj to quase 100  nariz ta leente entupido
2/7/2021,positivo,neutro,exemplo Covid febre nenhum momento ssintomas primeiros dias  quiâ httpstcoeF79dSOMZa
2/7/2021,negativo,tristeza,febre voltou nv U0001f97a
2/7/2021,negativo,raiva,porra febre ta voltanu
2/7/2021,negativo,raiva,Ãtimo dia p qm acordou febre toda fudida
2/7/2021,negativo,raiva,Acordei  febre pqp
2/7/2021,neutro,neutro, menina ta aqui quase convulsionando febre sei oq fazer
